Countys,AverageMaximumTemp,AverageMinimumTemp,MeanTemperature,HighestTemp,lowest Temp,Average Maximum Temp,Average Minimum Temp,Mean Temperature,Highest Temp,lowest Temp,Average Maximum Temp,Average Minimum Temp,Mean Temperature,Highest Temp,lowest Temp,Average Maximum Temp,Average Minimum Temp,Mean Temperature,Highest Temp,lowest Temp,Average Maximum Temp,Average Minimum Temp,Mean Temperature,Highest Temp,lowest Temp,Average Maximum Temp,Average Minimum Temp,Mean Temperature,Highest Temp,lowest Temp,Average Maximum Temp,Average Minimum Temp,Mean Temperature,Highest Temp,lowest Temp,Average Maximum Temp,Average Minimum Temp,Mean Temperature,Highest Temp,lowest Temp,Average Maximum Temp,Average Minimum Temp,Mean Temperature,Highest Temp,lowest Temp,Average Maximum Temp,Average Minimum Temp,Mean Temperature,Highest Temp,lowest Temp,Average Maximum Temp,Average Minimum Temp,Mean Temperature,Highest Temp,lowest Temp,Average Maximum Temp,Average Minimum Temp,Mean Temperature,Highest Temp,lowest Temp
Belmullet,8.2,3.5,5.9,12.8,-4.8,8.8,4.1,6.5,12.3,-1.7,7.8,3,5.4,12.6,-2.6,11.6,5.6,8.6,17.9,-0.4,13,6.2,9.6,20.2,2.5,15.7,10.5,13.1,18.8,6.7,17.6,11.4,14.5,21.7,6.2,17.4,12.2,14.8,18.8,8,17.6,11.4,14.5,21.1,4.8,13.6,8.9,11.3,16.8,2.7,11.4,7.1,9.3,13.8,0.1,8.7,3.3,6,11.7,-1.6
Birr,7.8,2.1,5,13.3,-5.8,8.7,2.8,5.8,14,-2.9,7.8,1.9,4.9,14.9,-6.1,12,4,8,19.6,-3.8,14.8,6.1,10.5,22.1,1.2,16.9,9.2,13.1,20.6,3.4,18.7,11.2,15,26.4,3.6,18.4,11.6,15,21.3,5.9,18,10.5,14.3,21.8,1.2,13.9,7.8,10.9,16.4,2.9,10.9,5.6,8.3,15.4,-1.3,7.5,1.8,4.7,12.2,-4.9
Cahirciveen,9.7,4.5,7.1,13.4,-7.2,10.6,5.3,8,14.4,-1.8,9.8,4.7,7.3,14.4,-2.7,12.1,6.2,9.2,21.1,0.2,13.8,7.5,10.7,21.7,2.2,15.8,10.4,13.1,18.9,7.6,17.5,11.7,14.6,21.4,6.7,17.7,12.6,15.2,21.6,7.8,17.9,12.1,15,21.7,5.1,14,9.7,11.9,16.7,5.1,12.4,7.5,10,15,1.4,9.7,4,6.9,12.8,-2.1
Claremorris,7.4,1.4,4.4,13.2,-9.6,8.3,2.4,5.4,12,-4.6,7.2,1.4,4.3,13.3,-6.2,11.8,3.8,7.8,18.8,-2.8,13.9,4.9,9.4,21.2,0,16.2,8.8,12.5,18.9,2.8,18.3,10.5,14.4,23.3,3.9,18.1,11,14.6,21,3.9,17.3,9.9,13.6,21.1,0.9,13.4,7.3,10.4,16.7,0.9,10.7,5.1,7.9,13.9,0.6,7.1,1.1,4.1,12.2,-5
Clones,6.7,0.9,3.8,13.1,-8.8,7.8,1.9,4.9,11.8,-5.1,6.8,0.6,3.7,15,-4.9,11.2,3.6,7.4,18.8,-2.7,13.9,5.1,9.5,20.6,-0.2,16.3,8.8,12.6,19.4,5.1,18.4,10.4,14.4,23.7,6.1,17.7,10.8,14.3,20.6,6.2,17.7,10.3,14,20.7,4.3,13.2,7,10.1,17.8,0.1,10.1,5.1,7.6,15.6,0.3,6.9,1.2,4.1,11.6,-4.4
Dublin airport,7.5,1.9,4.7,12.4,-7,8.2,2.8,5.5,13.5,-3.1,7.1,1.8,4.5,15.2,-5,11.2,4.6,7.9,17.1,-1.2,13.7,6.5,10.1,20.6,2.4,16.2,9.7,13,20.8,5.6,18,11.3,14.7,25.1,6.1,18,11.7,14.9,21.6,6.7,17.4,11.3,14.4,19.3,5.6,13.7,7.9,10.8,17.1,3.6,10.6,5.7,8.2,14.8,1,7.9,2.9,5.4,12.2,-3
Kilkenny,8,1.3,4.7,12.4,-9.1,9.1,2.9,6,13.6,-3.2,7.9,1.7,4.8,14.8,-5.9,12.3,4.2,8.3,18.8,-2.9,14.6,6.1,10.4,22.8,0.6,16.8,9.1,13,20.9,3.4,18.9,10.7,14.8,25.8,4.4,19,11.2,15.1,22,3.9,18.1,10,14.1,21.7,1.1,14.3,7.1,10.7,18.6,0.6,11,5,8,17.2,-1.3,8,1.3,4.7,12.7,-4.4
Malin head,7.5,2.9,5.2,13.4,-3.2,7.8,3.2,5.5,11.1,-2.6,6.5,2.5,4.5,13.3,-2.6,10.3,5.3,7.8,16.6,1.6,12.1,6,9.1,18.3,1.6,14.6,9.8,12.2,17.9,6.8,16.5,11.4,14,20.7,7.5,17.1,12.1,14.6,21.6,8.8,16.9,11.4,14.2,21.7,8.4,13.2,9,11.1,17.1,5.1,10.9,6.5,8.7,14.3,2.1,8.4,3.8,6.1,11.1,-0.6
Mullingar,7,1.2,4.1,12.7,-8.8,8,2.2,5.1,13.6,-3.9,7.2,1.2,4.2,15.7,-5.1,11.7,4.1,7.9,20.5,-2.1,14.5,5.7,10.1,22.2,2.2,16.9,9,13,20.6,4.8,18.7,10.9,14.8,25,5.1,18.3,10.9,14.6,21.2,6.1,17.7,10.2,14,20.4,2.4,13.6,7.1,10.4,18.4,2.1,10.2,5,7.6,15.4,-0.2,7.1,1.6,4.4,11.6,-3.7
Roches Point,8.9,4.4,6.7,12.8,-3.8,10.1,5.3,7.7,12.5,0.4,8.5,4.3,6.4,12.9,-1.9,11.6,5.8,8.7,18.1,0,13.7,7.5,10.6,18.2,4.7,15.9,10.4,13.2,18.4,7.2,17.6,12.1,14.9,24.4,8.8,17.6,12.4,15,21.6,8.1,16.9,12.5,14.7,19.9,7.3,14.4,9.5,12,18.2,5.2,11.9,8.2,10.1,16.6,2.8,9.5,4.8,7.2,13.7,1.4
Rosslare,8.3,3.4,5.9,11.7,-5.1,9.4,4.9,7.2,12.3,0.2,7.5,3.4,5.5,13,-2.7,11.2,5.7,8.5,18.9,0,13.4,7.5,10.5,18.9,3.9,15.6,10.1,12.9,17.4,5.3,17.1,11.8,14.5,20.7,7.9,17.7,12.4,15.1,20.7,7.9,17.2,12.7,15,19.6,8.5,14.4,8.9,11.7,17.2,3.6,11.7,7.3,9.5,17.2,3.2,9.5,4.9,7.2,12.8,0
